ambito,tipo,texto,archivo
filiacion,consejo,"Preséntese, trate al paciente por su nombre (nunca por el número de cama) y hable con respeto, en lenguaje sencillo.",02a
filiacion,pregunta,¿Cuál es su nombre completo? ¿Qué edad tiene?,02a
filiacion,pregunta,"¿A qué se dedica? ¿En su trabajo tiene contacto con polvo, insecticidas, radiación u otras sustancias?",02a
filiacion,pregunta,¿Dónde nació y dónde vive ahora? ¿Antes vivió en otro lugar?,02a
filiacion,pregunta,¿Cuál es su dirección y un teléfono para ubicarlo si sale algún resultado urgente?,02a
filiacion,pregunta,"¿Es soltero, casado o conviviente? ¿Qué religión tiene? ¿Hasta qué grado estudió?",02a
filiacion,consejo,"Anote quién da la información (paciente o familiar) y si tuvo ingresos previos al hospital, por la misma u otra enfermedad.",02a
filiacion,alerta,"Edad, sexo, raza, procedencia y profesión ya orientan: zona tropical sugiere amebiasis o Chagas, pastor de ganado quiste hidatídico.",09h
enfermedad_actual,consejo,"Deje que el paciente cuente su enfermedad sin interrumpirlo. Cuando se detenga, anímelo con: ¿y qué más?",02a
enfermedad_actual,pregunta,¿Qué le trae a la consulta? ¿Qué molestias tiene?,02a
enfermedad_actual,consejo,"Anote el motivo de consulta con las palabras del paciente (me falta el aire), máximo tres síntomas y en orden.",02a
enfermedad_actual,consejo,"Después haga preguntas dirigidas, concretas y simples, adaptadas al nivel cultural del paciente.",02a
enfermedad_actual,consejo,"Si el paciente no puede relatar (coma, niño, enfermo mental), obtenga la historia de un familiar o acompañante.",02a
enfermedad_actual,pregunta,¿Alguna vez le había pasado algo parecido?,02a
enfermedad_actual,alerta,"Si no hubo un cuadro similar, anote: el paciente no refiere cuadro similar. Nunca deje el dato en blanco.",02a
enfermedad_actual,consejo,"Al terminar, léale la historia al paciente para que la confirme, la corrija o agregue alguna queja.",02a
ea.tiempo,pregunta,¿Desde cuándo tiene esta molestia?,02a
ea.tiempo,consejo,"Si no recuerda la fecha exacta, ayúdele a fijar una fecha aproximada del inicio.",02a
ea.tiempo,pregunta,¿Antes de esa fecha estaba completamente sano o ya tenía alguna molestia?,02b
ea.tiempo,alerta,"Regla rápida (apuntes 2018): 10 días o menos sugiere cuadro agudo, más de 60 días cuadro crónico.",02a
ea.tiempo,alerta,"Clasificación formal: agudo hasta 3 meses, subagudo de 3 meses a 1 año, subcrónico de 1 a 5 años, crónico más de 5 años.",02b
ea.tiempo,alerta,"Cada síntoma tiene su corte: disnea aguda menos de 30 días, tos aguda menos de 3 semanas y crónica más de 8 semanas.",07a
ea.tiempo,consejo,"Si el síntoma va y viene, pídale anotar cada episodio en un calendario: rara vez recuerda cuántos tuvo en el mes.",11g
ea.signos_sintomas,consejo,"Escriba hasta tres: término semiológico, su caracterización y el tiempo entre paréntesis («Fiebre intermitente de hasta 39 °C, de predominio vespertino (4 días)»).",02a
ea.signos_sintomas,consejo,Registre todos los datos positivos y solo los negativos que tengan importancia.,02a
ea.sintomas_accesorios,pregunta,¿Qué otras molestias ha notado desde que empezó?,02a
ea.sintomas_accesorios,consejo,"Los demás síntomas del mismo cuadro, escritos igual que los principales: término, caracterización y tiempo.",02a
ea.sintomas_accesorios,consejo,"Un síntoma va en los principales o en los accesorios, nunca en los dos.",02a
ea.signos_sintomas,consejo,"Al redactar, traduzca a términos médicos: edema y no hinchazón, disnea y no falta de aire.",02a
ea.signos_sintomas,consejo,"Haga la revisión por sistemas, de la cabeza a los pies, para captar síntomas que el paciente no mencionó.",02c
ea.signos_sintomas,pregunta,"¿Ha tenido fiebre, cansancio, pérdida de peso o sudor por las noches?",02c
